turn 1: upper: THROW symbol p to (4, -2)
turn 1: lower: THROW symbol p to (-4, 3)
turn 2: upper: THROW symbol r to (3, -2)
turn 2: lower: THROW symbol s to (-3, 4)
turn 3: upper: THROW symbol s to (3, -1)
turn 3: lower: SLIDE from (-3, 4) to (-4, 4)
turn 4: upper: SWING from (4, -2) to (2, -1)
turn 4: lower: THROW symbol r to (-4, 1)
turn 5: upper: SWING from (3, -2) to (1, 0)
turn 5: lower: SLIDE from (-4, 4) to (-3, 3)
turn 6: upper: SWING from (3, -1) to (1, -1)
turn 6: lower: SWING from (-4, 3) to (-2, 2)
turn 7: upper: SWING from (2, -1) to (0, -1)
turn 7: lower: SWING from (-2, 2) to (-4, 3)
turn 8: upper: SLIDE from (1, 0) to (0, 0)
turn 8: lower: SLIDE from (-3, 3) to (-3, 2)
turn 9: upper: SWING from (1, -1) to (-1, 1)
turn 9: lower: SLIDE from (-4, 1) to (-3, 1)
turn 10: upper: SLIDE from (-1, 1) to (-1, 2)
turn 10: lower: SWING from (-4, 3) to (-2, 2)
turn 11: upper: SLIDE from (-1, 2) to (-2, 2)
turn 11: lower: SLIDE from (-2, 2) to (-2, 1)
turn 12: upper: SLIDE from (-2, 2) to (-3, 2)
turn 12: lower: SWING from (-2, 1) to (-3, 0)
turn 13: upper: SWING from (0, 0) to (1, -2)
turn 13: lower: SLIDE from (-3, 0) to (-4, 0)
turn 14: upper: SLIDE from (1, -2) to (2, -3)
turn 14: lower: SLIDE from (-3, 2) to (-3, 3)
turn 15: upper: SLIDE from (-3, 2) to (-3, 3)
turn 15: lower: SLIDE from (-3, 1) to (-3, 2)
turn 16: upper: SLIDE from (2, -3) to (3, -4)
turn 16: lower: SWING from (-3, 2) to (-4, 4)
turn 17: upper: SLIDE from (0, -1) to (0, 0)
turn 17: lower: SLIDE from (-4, 0) to (-3, -1)
turn 18: upper: SLIDE from (3, -4) to (3, -3)
turn 18: lower: SLIDE from (-3, -1) to (-2, -2)
turn 19: upper: SLIDE from (3, -3) to (2, -2)
turn 19: lower: SLIDE from (-4, 4) to (-4, 3)
turn 20: upper: SLIDE from (2, -2) to (1, -1)
turn 20: lower: SWING from (-4, 3) to (-3, 4)
turn 21: upper: SWING from (1, -1) to (0, 1)
turn 21: lower: SLIDE from (-3, 3) to (-4, 3)
turn 22: upper: SLIDE from (-3, 3) to (-4, 3)
turn 22: lower: SLIDE from (-3, 4) to (-4, 4)
turn 23: upper: SLIDE from (0, 1) to (0, 2)
turn 23: lower: SLIDE from (-2, -2) to (-1, -2)
turn 24: upper: SLIDE from (0, 0) to (0, 1)
turn 24: lower: SLIDE from (-1, -2) to (0, -3)
turn 25: upper: SWING from (0, 1) to (0, 3)
turn 25: lower: SLIDE from (-4, 3) to (-4, 2)
turn 26: upper: SLIDE from (-4, 3) to (-4, 2)
turn 26: lower: SLIDE from (-4, 4) to (-4, 3)
turn 27: upper: SWING from (0, 2) to (1, 3)
turn 27: lower: SLIDE from (-4, 2) to (-4, 1)
turn 28: upper: SLIDE from (-4, 2) to (-4, 1)
turn 28: lower: SLIDE from (-4, 3) to (-4, 2)
turn 29: upper: SLIDE from (0, 3) to (0, 2)
turn 29: lower: SWING from (-4, 1) to (-4, 3)
turn 30: upper: SLIDE from (-4, 1) to (-3, 0)
turn 30: lower: SLIDE from (-4, 2) to (-4, 1)
turn 31: upper: SLIDE from (-3, 0) to (-2, -1)
turn 31: lower: SLIDE from (0, -3) to (1, -4)
turn 32: upper: SLIDE from (-2, -1) to (-1, -2)
