turn 1: upper: THROW symbol r to (4, -1)
turn 56: upper: SLIDE from (3, -3) to (2, -3)
turn 56: lower: SLIDE from (-1, -3) to (-2, -2)
turn 57: upper: SLIDE from (2, -3) to (1, -3)
turn 57: lower: SLIDE from (-2, -2) to (-3, -1)
turn 58: upper: SLIDE from (1, -3) to (0, -3)
turn 58: lower: SLIDE from (-3, -1) to (-4, 0)
turn 59: upper: SLIDE from (0, -3) to (-1, -3)
turn 59: lower: SLIDE from (-4, 0) to (-4, 1)
turn 60: upper: SLIDE from (-1, -3) to (-2, -2)
turn 60: lower: SLIDE from (-4, 1) to (-4, 2)
turn 61: upper: SLIDE from (-2, -2) to (-3, -1)
turn 61: lower: SLIDE from (-4, 2) to (-3, 2)
turn 62: upper: SLIDE from (-1, -1) to (0, -2)
turn 62: lower: SLIDE from (-3, 2) to (-2, 1)
turn 63: upper: SLIDE from (-3, -1) to (-2, -1)
turn 63: lower: SLIDE from (-2, 1) to (-1, 1)
turn 64: upper: SLIDE from (-2, -1) to (-1, -1)
turn 64: lower: SLIDE from (-1, 1) to (-2, 2)
turn 65: upper: SLIDE from (-1, -1) to (-2, 0)
turn 65: lower: SLIDE from (-2, 2) to (-2, 3)
turn 66: upper: SLIDE from (-2, 0) to (-2, 1)
turn 66: lower: SLIDE from (-2, 3) to (-2, 4)
turn 67: upper: SLIDE from (-2, 1) to (-2, 2)
turn 67: lower: SLIDE from (-2, 4) to (-1, 4)
turn 68: upper: SLIDE from (4, -1) to (4, -2)
turn 68: lower: SLIDE from (-1, 4) to (0, 3)
turn 69: upper: SLIDE from (4, -2) to (4, -3)
turn 69: lower: SLIDE from (-4, 3) to (-4, 2)
turn 70: upper: SLIDE from (0, -2) to (1, -2)
turn 70: lower: SLIDE from (0, 4) to (-1, 4)
turn 71: upper: SLIDE from (1, -2) to (1, -1)
turn 71: lower: SLIDE from (-1, 4) to (-2, 4)
turn 72: upper: SLIDE from (-2, 2) to (-1, 2)
turn 72: lower: SLIDE from (-2, 4) to (-3, 4)
turn 73: upper: SLIDE from (-1, 2) to (0, 2)
turn 73: lower: SLIDE from (0, 3) to (0, 4)
turn 74: upper: SLIDE from (0, 2) to (0, 3)
turn 74: lower: SLIDE from (-3, 4) to (-2, 4)
turn 75: upper: SLIDE from (0, 3) to (0, 4)
turn 75: lower: THROW symbol p to (-4, 1)
turn 76: upper: SLIDE from (0, 4) to (1, 3)
turn 76: lower: SLIDE from (-2, 4) to (-1, 4)
turn 77: upper: SLIDE from (1, 3) to (2, 2)
turn 77: lower: SLIDE from (-4, 1) to (-3, 0)
turn 78: upper: SLIDE from (2, 2) to (3, 1)
turn 78: lower: SLIDE from (-1, 4) to (0, 4)
turn 79: upper: SLIDE from (3, 1) to (3, 0)
turn 79: lower: SLIDE from (-3, 0) to (-3, -1)
turn 80: upper: SLIDE from (3, 0) to (3, -1)
turn 80: lower: SLIDE from (-4, 2) to (-4, 3)
turn 81: upper: SLIDE from (1, -1) to (1, 0)
turn 81: lower: SLIDE from (-3, -1) to (-2, -2)
turn 82: upper: SLIDE from (3, -1) to (3, -2)
turn 82: lower: SLIDE from (-2, -2) to (-1, -3)
turn 83: upper: SLIDE from (3, -2) to (3, -3)
turn 83: lower: SLIDE from (-4, 3) to (-4, 4)
turn 84: upper: SLIDE from (1, 0) to (1, 1)
turn 84: lower: SLIDE from (-1, -3) to (-2, -2)
turn 85: upper: SLIDE from (1, 1) to (1, 2)
turn 85: lower: SLIDE from (0, 4) to (-1, 4)
turn 86: upper: SLIDE from (1, 2) to (0, 3)
turn 86: lower: SLIDE from (-1, 4) to (-2, 4)
turn 87: upper: SLIDE from (0, 3) to (-1, 4)
turn 87: lower: SLIDE from (-2, 4) to (-3, 4)
turn 88: upper: SLIDE from (3, -3) to (2, -3)
