turn 1: upper: THROW symbol r to (4, -1)
turn 1: lower: THROW symbol p to (-4, 2)
turn 2: upper: THROW symbol s to (3, -3)
turn 2: lower: THROW symbol r to (-3, 2)
turn 3: upper: THROW symbol p to (2, 2)
turn 3: lower: THROW symbol s to (-2, 0)
turn 49: upper: SLIDE from (-3, 1) to (-3, 2)
turn 49: lower: SLIDE from (-2, 4) to (-1, 4)
turn 50: upper: SLIDE from (-3, 2) to (-4, 3)
turn 50: lower: SLIDE from (-3, 4) to (-2, 4)
turn 51: upper: SLIDE from (-4, 3) to (-4, 4)
turn 51: lower: SLIDE from (-1, 4) to (0, 3)
turn 52: upper: SLIDE from (-4, 4) to (-4, 3)
turn 52: lower: SLIDE from (-2, 4) to (-1, 4)
turn 53: upper: SLIDE from (-4, 3) to (-4, 4)
turn 53: lower: SLIDE from (0, 3) to (-1, 3)
turn 54: upper: SLIDE from (0, 4) to (1, 3)
turn 54: lower: SLIDE from (-1, 3) to (0, 3)
turn 55: upper: SLIDE from (1, 3) to (2, 2)
turn 55: lower: SLIDE from (0, 3) to (1, 3)
turn 56: upper: SLIDE from (2, 2) to (2, 1)
turn 56: lower: SLIDE from (1, 3) to (2, 2)
turn 57: upper: SLIDE from (2, 1) to (1, 1)
turn 57: lower: SLIDE from (2, 2) to (2, 1)
turn 58: upper: SLIDE from (1, 1) to (0, 1)
turn 58: lower: SLIDE from (2, 1) to (1, 1)
turn 59: upper: SLIDE from (0, 1) to (-1, 2)
turn 59: lower: SLIDE from (-2, 3) to (-3, 3)
turn 60: upper: SLIDE from (-1, 2) to (-2, 2)
turn 60: lower: SLIDE from (-3, 3) to (-4, 4)
turn 61: upper: SLIDE from (-2, 2) to (-3, 3)
turn 61: lower: SLIDE from (-4, 2) to (-3, 2)
turn 62: upper: SLIDE from (-3, 3) to (-4, 4)
turn 62: lower: SLIDE from (-4, 4) to (-3, 4)
turn 63: upper: SLIDE from (-4, 4) to (-3, 4)
turn 63: lower: SLIDE from (-3, 4) to (-2, 4)
turn 64: upper: SLIDE from (-3, 4) to (-2, 4)
turn 64: lower: SWING from (-2, 4) to (0, 3)
turn 65: upper: SLIDE from (-2, 4) to (-1, 3)
turn 65: lower: SLIDE from (0, 3) to (1, 3)
turn 66: upper: SLIDE from (-1, 3) to (0, 3)
turn 66: lower: SLIDE from (1, 1) to (0, 2)
turn 67: upper: SLIDE from (0, 3) to (1, 3)
turn 67: lower: SLIDE from (1, 3) to (2, 2)
turn 68: upper: SLIDE from (1, 3) to (2, 2)
turn 68: lower: SLIDE from (0, 2) to (1, 2)
turn 69: upper: SLIDE from (2, 2) to (3, 1)
turn 69: lower: SLIDE from (1, 2) to (2, 2)
turn 70: upper: SLIDE from (3, 1) to (4, 0)
turn 70: lower: SLIDE from (2, 2) to (3, 1)
turn 71: upper: SLIDE from (4, 0) to (4, -1)
turn 71: lower: SLIDE from (3, 1) to (4, 0)
turn 72: upper: SLIDE from (4, -1) to (3, -1)
turn 72: lower: SLIDE from (4, 0) to (4, -1)
winner: lower
