turn 1: upper: THROW symbol s to (4, -2)
turn 1: lower: THROW symbol p to (-4, 2)
turn 2: upper: THROW symbol r to (3, -2)
turn 2: lower: THROW symbol r to (-3, 2)
turn 3: upper: THROW symbol p to (3, -1)
turn 3: lower: THROW symbol s to (-3, 1)
turn 246: upper: SLIDE from (-2, 0) to (-2, -1)
turn 246: lower: SLIDE from (-2, -1) to (-2, -2)
turn 247: upper: SLIDE from (-2, -1) to (-2, -2)
turn 247: lower: SLIDE from (-2, -2) to (-1, -3)
turn 248: upper: SLIDE from (-2, -2) to (-1, -3)
turn 248: lower: SLIDE from (-1, -3) to (0, -4)
turn 249: upper: SLIDE from (-1, -3) to (0, -4)
turn 249: lower: SLIDE from (0, -4) to (1, -4)
turn 250: upper: SLIDE from (0, -4) to (1, -4)
turn 250: lower: SLIDE from (1, -4) to (2, -4)
turn 251: upper: SLIDE from (1, 2) to (2, 2)
turn 251: lower: THROW symbol r to (0, 0)
turn 252: upper: SLIDE from (1, -4) to (1, -3)
turn 252: lower: SLIDE from (0, 0) to (-1, 1)
turn 253: upper: SLIDE from (1, -3) to (2, -3)
turn 253: lower: SLIDE from (-1, 1) to (-2, 2)
turn 254: upper: SLIDE from (2, -3) to (3, -4)
turn 254: lower: SLIDE from (-2, 2) to (-1, 2)
turn 255: upper: SLIDE from (-3, 3) to (-4, 4)
turn 255: lower: SLIDE from (-1, 2) to (-2, 2)
turn 256: upper: THROW symbol r to (-3, 3)
turn 256: lower: SWING from (-2, 2) to (-4, 4)
turn 257: upper: SLIDE from (-3, 3) to (-3, 4)
turn 257: lower: SLIDE from (-4, 4) to (-3, 3)
turn 258: upper: SLIDE from (-3, 4) to (-2, 4)
turn 258: lower: SLIDE from (-3, 3) to (-2, 2)
turn 259: upper: SLIDE from (-2, 4) to (-1, 4)
turn 259: lower: SLIDE from (-2, 2) to (-1, 2)
turn 260: upper: SLIDE from (-1, 4) to (0, 4)
turn 260: lower: SLIDE from (-1, 2) to (0, 2)
turn 261: upper: SLIDE from (2, 2) to (3, 1)
turn 261: lower: SLIDE from (0, 2) to (1, 2)
turn 262: upper: SLIDE from (2, -4) to (2, -3)
turn 262: lower: SLIDE from (1, 2) to (2, 1)
turn 263: upper: SLIDE from (3, 1) to (4, 0)
turn 263: lower: SLIDE from (2, -4) to (2, -3)
turn 264: upper: SLIDE from (2, -3) to (2, -2)
turn 264: lower: SLIDE from (2, 1) to (3, 0)
turn 265: upper: SLIDE from (3, -4) to (2, -3)
turn 265: lower: SLIDE from (2, -3) to (2, -2)
turn 266: upper: SLIDE from (2, -2) to (2, -1)
turn 266: lower: SLIDE from (3, 0) to (4, 0)
turn 267: upper: SLIDE from (2, -3) to (2, -2)
turn 267: lower: SLIDE from (2, -2) to (2, -1)
turn 268: upper: SLIDE from (0, 4) to (-1, 4)
turn 268: lower: SLIDE from (4, 0) to (3, 0)
turn 269: upper: SLIDE from (-1, 4) to (-2, 4)
turn 269: lower: SLIDE from (3, 0) to (4, -1)
turn 270: upper: SLIDE from (-2, 4) to (-3, 4)
turn 270: lower: SLIDE from (4, -1) to (4, -2)
turn 271: upper: SLIDE from (-3, 4) to (-4, 4)
turn 271: lower: SLIDE from (4, -2) to (4, -3)
turn 272: upper: SLIDE from (-4, 4) to (-4, 3)
turn 272: lower: SLIDE from (4, -3) to (4, -2)
turn 273: upper: SLIDE from (-4, 3) to (-4, 2)
turn 273: lower: SLIDE from (4, -2) to (4, -3)
turn 274: upper: SLIDE from (-4, 2) to (-3, 2)
turn 274: lower: SLIDE from (4, -3) to (4, -2)
turn 275: upper: SLIDE from (-3, 2) to (-3, 3)
turn 275: lower: SLIDE from (4, -2) to (4, -3)
turn 276: upper: SLIDE from (-3, 3) to (-2, 2)
turn 276: lower: SLIDE from (4, -3) to (4, -2)
turn 277: upper: SLIDE from (-2, 2) to (-2, 3)
turn 277: lower: SLIDE from (4, -2) to (4, -3)
turn 278: upper: SLIDE from (-2, 3) to (-1, 3)
turn 278: lower: SLIDE from (4, -3) to (4, -2)
turn 279: upper: SLIDE from (-1, 3) to (0, 3)
turn 279: lower: SLIDE from (4, -2) to (4, -3)
turn 280: upper: SLIDE from (0, 3) to (0, 4)
turn 280: lower: SLIDE from (4, -3) to (4, -2)
turn 281: upper: SLIDE from (0, 4) to (1, 3)
turn 281: lower: SLIDE from (4, -2) to (4, -3)
turn 282: upper: SLIDE from (1, 3) to (2, 2)
turn 282: lower: SLIDE from (4, -3) to (4, -2)
turn 283: upper: SWING from (2, -2) to (1, 0)
turn 283: lower: SLIDE from (4, -2) to (4, -3)
turn 284: upper: SLIDE from (1, 0) to (2, 0)
turn 284: lower: SLIDE from (4, -3) to (3, -3)
turn 285: upper: SLIDE from (2, -1) to (3, -2)
turn 285: lower: SLIDE from (3, -3) to (4, -3)
turn 286: upper: SLIDE from (2, 0) to (2, -1)
turn 286: lower: SLIDE from (4, -3) to (4, -4)
turn 287: upper: SLIDE from (3, -2) to (3, -3)
turn 287: lower: SLIDE from (4, -4) to (3, -4)
turn 288: upper: SLIDE from (3, -3) to (3, -4)
turn 288: lower: SLIDE from (3, -4) to (2, -4)
turn 289: upper: SLIDE from (3, -4) to (2, -4)
turn 289: lower: SLIDE from (2, -4) to (1, -3)
turn 290: upper: SLIDE from (2, -4) to (1, -3)
turn 290: lower: SLIDE from (1, -3) to (1, -2)
turn 291: upper: SLIDE from (1, -3) to (1, -2)
turn 291: lower: SLIDE from (1, -2) to (2, -2)
turn 292: upper: SLIDE from (1, -2) to (2, -2)
turn 292: lower: SLIDE from (2, -2) to (3, -2)
turn 293: upper: SWING from (2, -1) to (1, -2)
turn 293: lower: SLIDE from (3, -2) to (4, -3)
turn 294: upper: SLIDE from (1, -2) to (0, -2)
turn 294: lower: SLIDE from (4, -3) to (4, -2)
turn 295: upper: SLIDE from (0, -2) to (0, -1)
turn 295: lower: SLIDE from (4, -2) to (3, -1)
turn 296: upper: SLIDE from (0, -1) to (-1, -1)
turn 296: lower: SLIDE from (3, -1) to (2, 0)
turn 297: upper: SLIDE from (-1, -1) to (-1, -2)
turn 297: lower: THROW symbol r to (-1, -1)
turn 298: upper: SLIDE from (2, -2) to (2, -1)
turn 298: lower: SLIDE from (-1, -1) to (-1, -2)
turn 299: upper: SLIDE from (2, 2) to (2, 1)
turn 299: lower: SLIDE from (2, 0) to (3, -1)
turn 300: upper: SLIDE from (2, 1) to (2, 0)
turn 300: lower: SLIDE from (3, -1) to (4, -2)
turn 301: upper: SWING from (2, 0) to (1, -1)
turn 301: lower: SLIDE from (4, -2) to (3, -1)
turn 302: upper: SWING from (1, -1) to (3, -2)
turn 302: lower: SLIDE from (3, -1) to (4, -2)
turn 303: upper: SWING from (2, -1) to (4, -2)
turn 303: lower: SLIDE from (4, -2) to (3, -2)
turn 304: upper: SWING from (3, -2) to (4, -1)
turn 304: lower: THROW symbol r to (2, -1)
turn 305: upper: SWING from (4, -1) to (3, -2)
turn 305: lower: SWING from (3, -2) to (1, -1)
turn 306: upper: SLIDE from (3, -2) to (3, -1)
turn 306: lower: SLIDE from (2, -1) to (3, -2)
turn 307: upper: SWING from (3, -1) to (4, -3)
turn 307: lower: SLIDE from (3, -2) to (3, -1)
turn 308: upper: SLIDE from (4, -3) to (4, -4)
turn 308: lower: SLIDE from (3, -1) to (2, -1)
turn 309: upper: SLIDE from (4, -2) to (4, -3)
turn 309: lower: THROW symbol s to (3, -2)
turn 310: upper: SWING from (4, -3) to (3, -4)
turn 310: lower: SLIDE from (3, -2) to (2, -2)
turn 311: upper: SWING from (4, -4) to (2, -3)
turn 311: lower: SWING from (2, -1) to (0, 0)
turn 312: upper: SLIDE from (2, -3) to (2, -2)
turn 312: lower: SWING from (2, -2) to (0, -1)
turn 313: upper: SLIDE from (2, -2) to (1, -2)
turn 313: lower: SWING from (1, -1) to (-1, 0)
turn 314: upper: SLIDE from (1, -2) to (0, -1)
turn 314: lower: SLIDE from (0, -1) to (-1, -1)
turn 315: upper: SLIDE from (0, -1) to (-1, -1)
turn 315: lower: SWING from (-1, -1) to (0, -3)
turn 316: upper: SLIDE from (-1, -1) to (0, -2)
turn 316: lower: SLIDE from (0, -3) to (1, -3)
turn 317: upper: SLIDE from (0, -2) to (1, -3)
turn 317: lower: SLIDE from (1, -3) to (2, -3)
turn 318: upper: SLIDE from (3, -4) to (3, -3)
turn 318: lower: SLIDE from (2, -3) to (3, -4)
turn 319: upper: SLIDE from (1, -3) to (1, -4)
turn 319: lower: SLIDE from (3, -4) to (3, -3)
winner: lower
