turn 1: upper: THROW symbol r to (4, -2)
turn 1: lower: THROW symbol s to (-4, 2)
turn 24: upper: SLIDE from (-1, -2) to (0, -2)
turn 24: lower: SLIDE from (0, -2) to (0, -1)
turn 25: upper: SLIDE from (0, -2) to (0, -1)
turn 25: lower: SLIDE from (0, -1) to (0, 0)
turn 26: upper: SLIDE from (0, -1) to (0, 0)
turn 26: lower: SLIDE from (0, 0) to (0, 1)
turn 27: upper: SLIDE from (0, 0) to (0, 1)
turn 27: lower: SLIDE from (0, 1) to (0, 2)
turn 28: upper: SLIDE from (0, 1) to (0, 2)
turn 28: lower: SLIDE from (0, 2) to (-1, 3)
turn 29: upper: SLIDE from (0, 2) to (-1, 3)
turn 29: lower: SLIDE from (-1, 3) to (-1, 2)
turn 30: upper: SLIDE from (-1, 3) to (-1, 2)
turn 30: lower: SLIDE from (-1, 2) to (0, 1)
turn 31: upper: SLIDE from (-1, 2) to (0, 1)
turn 31: lower: SLIDE from (0, 1) to (1, 0)
turn 32: upper: SLIDE from (0, 1) to (1, 0)
turn 32: lower: SLIDE from (1, 0) to (2, -1)
turn 33: upper: SLIDE from (1, 0) to (2, -1)
turn 33: lower: SLIDE from (2, -1) to (3, -2)
turn 34: upper: SLIDE from (4, -2) to (4, -1)
turn 34: lower: SLIDE from (3, -2) to (3, -3)
turn 35: upper: SWING from (2, -1) to (3, -3)
turn 35: lower: SLIDE from (3, -3) to (3, -4)
turn 36: upper: SLIDE from (3, -3) to (2, -3)
turn 36: lower: SLIDE from (3, -4) to (2, -4)
turn 37: upper: SLIDE from (2, -3) to (2, -4)
turn 37: lower: SLIDE from (2, -4) to (3, -4)
turn 38: upper: SLIDE from (2, -4) to (3, -4)
turn 38: lower: SLIDE from (3, -4) to (3, -3)
turn 39: upper: SLIDE from (3, -4) to (3, -3)
turn 39: lower: SLIDE from (3, -3) to (3, -2)
turn 40: upper: SWING from (3, -3) to (2, -1)
turn 40: lower: SLIDE from (-4, 3) to (-4, 2)
turn 41: upper: SWING from (2, -1) to (4, -3)
turn 41: lower: SWING from (-3, 1) to (-4, 3)
turn 42: upper: SWING from (4, -3) to (3, -1)
turn 42: lower: SLIDE from (-4, 3) to (-4, 4)
turn 43: upper: SLIDE from (3, -1) to (2, -1)
turn 43: lower: SLIDE from (-4, 2) to (-4, 3)
turn 44: upper: SWING from (2, -1) to (4, -3)
turn 44: lower: SLIDE from (3, -2) to (3, -1)
turn 45: upper: SLIDE from (4, -1) to (4, -2)
turn 45: lower: SLIDE from (3, -1) to (3, 0)
turn 46: upper: THROW symbol s to (3, 0)
turn 46: lower: SLIDE from (3, 0) to (2, 0)
turn 47: upper: SLIDE from (3, 0) to (3, -1)
turn 47: lower: SLIDE from (2, 0) to (1, 1)
turn 48: upper: THROW symbol s to (1, 1)
turn 48: lower: SLIDE from (1, 1) to (0, 1)
turn 49: upper: SLIDE from (1, 1) to (0, 1)
turn 49: lower: SLIDE from (0, 1) to (-1, 2)
turn 50: upper: SLIDE from (0, 1) to (-1, 2)
turn 50: lower: SLIDE from (-1, 2) to (-2, 2)
turn 51: upper: SLIDE from (-1, 2) to (-2, 2)
turn 51: lower: SLIDE from (-2, 2) to (-3, 3)
turn 52: upper: SLIDE from (-2, 2) to (-1, 1)
turn 52: lower: SWING from (-3, 3) to (-4, 2)
turn 53: upper: SLIDE from (-1, 1) to (-2, 1)
turn 53: lower: SLIDE from (-4, 2) to (-3, 2)
turn 54: upper: SLIDE from (-2, 1) to (-3, 1)
turn 54: lower: SLIDE from (-4, 3) to (-4, 2)
turn 55: upper: SLIDE from (-3, 1) to (-2, 1)
turn 55: lower: SLIDE from (-3, 2) to (-3, 3)
turn 56: upper: SLIDE from (-2, 1) to (-3, 2)
turn 56: lower: SLIDE from (-3, 3) to (-3, 4)
turn 57: upper: SLIDE from (-3, 2) to (-3, 3)
turn 57: lower: SLIDE from (-3, 4) to (-2, 4)
turn 58: upper: SLIDE from (-3, 3) to (-2, 3)
turn 58: lower: SLIDE from (-4, 2) to (-4, 3)
turn 59: upper: SLIDE from (-2, 3) to (-2, 4)
turn 59: lower: SLIDE from (-2, 4) to (-1, 4)
turn 60: upper: SLIDE from (-2, 4) to (-1, 4)
turn 60: lower: SLIDE from (-1, 4) to (0, 3)
turn 61: upper: SLIDE from (-1, 4) to (0, 3)
turn 61: lower: SLIDE from (0, 3) to (0, 2)
turn 62: upper: SLIDE from (0, 3) to (0, 2)
turn 62: lower: SLIDE from (0, 2) to (-1, 3)
turn 63: upper: SLIDE from (0, 2) to (-1, 3)
turn 63: lower: SLIDE from (-1, 3) to (-2, 3)
turn 64: upper: SLIDE from (-1, 3) to (-2, 3)
turn 64: lower: SLIDE from (-2, 3) to (-3, 4)
turn 65: upper: SLIDE from (-2, 3) to (-3, 3)
turn 65: lower: SLIDE from (-4, 4) to (-3, 3)
