turn 1: upper: THROW symbol r to (4, -2)
turn 1: lower: THROW symbol s to (-4, 2)
turn 2: upper: THROW symbol s to (3, -1)
turn 18: lower: SLIDE from (-4, 1) to (-3, 0)
turn 19: upper: SLIDE from (-3, 3) to (-3, 4)
turn 19: lower: SLIDE from (-3, 1) to (-3, 2)
turn 20: upper: SLIDE from (-3, 4) to (-2, 4)
turn 20: lower: SLIDE from (-3, 2) to (-3, 3)
turn 21: upper: SLIDE from (-2, 4) to (-1, 4)
turn 21: lower: SLIDE from (-3, 3) to (-2, 3)
turn 22: upper: SLIDE from (-1, 4) to (0, 4)
turn 22: lower: SLIDE from (-2, 3) to (-1, 3)
turn 23: upper: SLIDE from (0, 4) to (1, 3)
turn 23: lower: SLIDE from (-1, 3) to (0, 3)
turn 24: upper: SLIDE from (1, 3) to (2, 2)
turn 24: lower: SLIDE from (0, 3) to (1, 3)
turn 25: upper: SLIDE from (2, 2) to (2, 1)
turn 25: lower: SLIDE from (1, 3) to (2, 2)
turn 26: upper: SLIDE from (2, 1) to (1, 1)
turn 26: lower: SLIDE from (2, 2) to (2, 1)
turn 27: upper: SLIDE from (1, 1) to (0, 1)
turn 27: lower: SLIDE from (2, 1) to (1, 1)
turn 28: upper: SLIDE from (0, 1) to (0, 0)
turn 28: lower: SLIDE from (1, 1) to (0, 1)
turn 29: upper: SLIDE from (0, 0) to (-1, 0)
turn 29: lower: SLIDE from (0, 1) to (0, 0)
turn 30: upper: SLIDE from (-1, 0) to (-2, 0)
turn 30: lower: SLIDE from (0, 0) to (-1, 0)
turn 31: upper: SLIDE from (-2, 0) to (-3, 1)
turn 31: lower: SLIDE from (-3, 0) to (-4, 1)
turn 32: upper: SLIDE from (-3, 1) to (-4, 2)
turn 32: lower: SLIDE from (-4, 1) to (-3, 0)
turn 33: upper: SLIDE from (-4, 2) to (-4, 3)
turn 33: lower: SLIDE from (-1, 0) to (-2, 0)
turn 34: upper: SLIDE from (-4, 3) to (-3, 2)
turn 34: lower: SLIDE from (-3, 0) to (-2, -1)
turn 35: upper: SLIDE from (-3, 2) to (-2, 2)
turn 35: lower: SLIDE from (-2, 0) to (-3, 1)
turn 36: upper: SLIDE from (-2, 2) to (-1, 2)
turn 36: lower: SLIDE from (-3, 1) to (-2, 1)
turn 37: upper: SLIDE from (-1, 2) to (0, 2)
turn 37: lower: SLIDE from (-2, 1) to (-1, 1)
turn 38: upper: SLIDE from (0, 2) to (0, 3)
turn 38: lower: SLIDE from (-1, 1) to (0, 1)
turn 39: upper: THROW symbol s to (1, 1)
turn 39: lower: SLIDE from (0, 1) to (0, 2)
turn 40: upper: SLIDE from (0, 3) to (-1, 4)
turn 40: lower: SLIDE from (0, 2) to (0, 3)
turn 41: upper: SLIDE from (-1, 4) to (-2, 4)
turn 41: lower: SLIDE from (0, 3) to (-1, 4)
turn 42: upper: SLIDE from (-2, 4) to (-2, 3)
turn 42: lower: SLIDE from (-1, 4) to (-2, 4)
turn 43: upper: SLIDE from (-2, 3) to (-2, 2)
turn 43: lower: SLIDE from (-2, 4) to (-2, 3)
turn 44: upper: SLIDE from (-2, 2) to (-1, 1)
turn 44: lower: SLIDE from (-2, 3) to (-2, 2)
turn 45: upper: SLIDE from (-1, 1) to (-1, 0)
turn 45: lower: SLIDE from (-2, -1) to (-3, -1)
turn 46: upper: THROW symbol p to (0, -2)
turn 46: lower: SLIDE from (-2, 2) to (-2, 1)
turn 47: upper: SLIDE from (-1, 0) to (-1, -1)
turn 47: lower: SLIDE from (-1, -2) to (-1, -3)
turn 48: upper: SLIDE from (0, -2) to (0, -3)
turn 48: lower: SLIDE from (-2, 1) to (-2, 0)
turn 49: upper: SLIDE from (-1, -1) to (-1, -2)
turn 49: lower: SLIDE from (-1, -3) to (-2, -2)
turn 50: upper: SLIDE from (1, 1) to (1, 0)
turn 50: lower: SWING from (-2, -2) to (-4, 0)
turn 51: upper: SLIDE from (1, 0) to (0, 0)
turn 51: lower: SLIDE from (-2, 0) to (-2, -1)
turn 52: upper: SLIDE from (-1, -2) to (-1, -3)
turn 52: lower: SWING from (-3, -1) to (-4, 1)
turn 53: upper: SLIDE from (-1, -3) to (0, -4)
turn 53: lower: SLIDE from (-2, -1) to (-2, -2)
turn 54: upper: SLIDE from (0, -4) to (1, -4)
turn 54: lower: SWING from (-4, 0) to (-3, 1)
turn 55: upper: SLIDE from (0, 0) to (0, -1)
turn 55: lower: SLIDE from (-2, -2) to (-1, -3)
turn 56: upper: SWING from (1, -4) to (0, -2)
turn 56: lower: SLIDE from (-4, 1) to (-4, 0)
turn 57: upper: SWING from (0, -2) to (-1, 0)
turn 57: lower: SLIDE from (-1, -3) to (-1, -2)
turn 58: upper: SLIDE from (0, -1) to (0, -2)
turn 58: lower: SLIDE from (-4, 0) to (-3, -1)
turn 59: upper: SLIDE from (0, -3) to (1, -3)
turn 59: lower: SLIDE from (-1, -2) to (-2, -1)
turn 60: upper: SLIDE from (0, -2) to (-1, -2)
turn 60: lower: SLIDE from (-2, -1) to (-3, 0)
turn 61: upper: SLIDE from (-1, 0) to (-1, -1)
turn 61: lower: SLIDE from (-3, -1) to (-2, -2)
turn 62: upper: SWING from (-1, -1) to (-1, -3)
turn 62: lower: SLIDE from (-3, 0) to (-2, 0)
turn 63: upper: SLIDE from (-1, -2) to (-1, -1)
turn 63: lower: SLIDE from (-2, -2) to (-2, -1)
turn 64: upper: SLIDE from (-1, -1) to (0, -2)
turn 64: lower: SWING from (-2, 0) to (-4, 2)
turn 65: upper: SLIDE from (-1, -3) to (-1, -2)
turn 65: lower: SLIDE from (-3, 1) to (-2, 0)
turn 66: upper: SWING from (1, -3) to (0, -1)
turn 66: lower: SWING from (-2, -1) to (-3, 1)
turn 67: upper: SLIDE from (-1, -2) to (-1, -1)
turn 67: lower: SWING from (-2, 0) to (-3, 2)
turn 68: upper: SLIDE from (-1, -1) to (-1, 0)
turn 68: lower: SWING from (-3, 1) to (-3, 3)
turn 69: upper: SLIDE from (-1, 0) to (-1, 1)
turn 69: lower: SLIDE from (-3, 3) to (-4, 4)
turn 70: upper: SWING from (0, -2) to (-1, 0)
turn 70: lower: SLIDE from (-3, 2) to (-4, 3)
turn 71: upper: SLIDE from (-1, 1) to (-2, 2)
turn 71: lower: SLIDE from (-4, 2) to (-3, 2)
turn 72: upper: SLIDE from (-2, 2) to (-2, 3)
turn 72: lower: SWING from (-4, 3) to (-2, 2)
turn 73: upper: SLIDE from (-2, 3) to (-3, 4)
turn 73: lower: SLIDE from (-4, 4) to (-4, 3)
turn 74: upper: SWING from (0, -1) to (-1, 1)
turn 74: lower: SLIDE from (-3, 2) to (-3, 3)
turn 75: upper: SLIDE from (-3, 4) to (-2, 4)
turn 75: lower: SWING from (-2, 2) to (-4, 4)
turn 76: upper: SWING from (-1, 0) to (-1, 2)
turn 76: lower: SLIDE from (-4, 3) to (-3, 2)
turn 77: upper: SLIDE from (-2, 4) to (-1, 3)
turn 77: lower: SLIDE from (-3, 3) to (-4, 3)
turn 78: upper: SWING from (-1, 1) to (-2, 3)
turn 78: lower: SWING from (-4, 3) to (-3, 4)
turn 79: upper: SWING from (-2, 3) to (-1, 4)
turn 79: lower: SLIDE from (-3, 2) to (-4, 2)
turn 80: upper: SWING from (-1, 3) to (-2, 2)
turn 80: lower: SLIDE from (-4, 4) to (-3, 3)
turn 81: upper: SLIDE from (-2, 2) to (-2, 1)
turn 81: lower: SWING from (-3, 4) to (-3, 2)
turn 82: upper: SLIDE from (-2, 1) to (-2, 0)
turn 82: lower: SLIDE from (-3, 2) to (-3, 1)
turn 83: upper: SLIDE from (-2, 0) to (-1, 0)
turn 83: lower: SLIDE from (-4, 2) to (-4, 3)
turn 84: upper: SLIDE from (-1, 2) to (-1, 1)
turn 84: lower: SWING from (-4, 3) to (-3, 4)
turn 85: upper: SWING from (-1, 0) to (-1, 2)
turn 85: lower: SLIDE from (-3, 4) to (-2, 4)
turn 86: upper: SLIDE from (-1, 4) to (0, 3)
turn 86: lower: SLIDE from (-3, 3) to (-2, 2)
turn 87: upper: SLIDE from (-1, 1) to (-1, 0)
turn 87: lower: SLIDE from (-2, 2) to (-2, 1)
turn 88: upper: SLIDE from (-1, 0) to (-1, -1)
turn 88: lower: SLIDE from (-2, 4) to (-3, 4)
turn 89: upper: SLIDE from (-1, 2) to (-2, 3)
turn 89: lower: SLIDE from (-3, 4) to (-4, 4)
turn 90: upper: SLIDE from (-2, 3) to (-3, 3)
turn 90: lower: SLIDE from (-2, 1) to (-2, 0)
turn 91: upper: SLIDE from (-1, -1) to (0, -1)
turn 91: lower: SLIDE from (-4, 4) to (-3, 4)
turn 92: upper: SLIDE from (0, 3) to (0, 2)
turn 92: lower: SLIDE from (-3, 4) to (-2, 4)
turn 93: upper: SLIDE from (-3, 3) to (-2, 3)
turn 93: lower: SLIDE from (-2, 4) to (-1, 3)
turn 94: upper: SLIDE from (0, 2) to (0, 1)
turn 94: lower: SLIDE from (-1, 3) to (0, 2)
turn 95: upper: SLIDE from (0, 1) to (-1, 1)
turn 95: lower: SLIDE from (0, 2) to (0, 1)
turn 96: upper: SLIDE from (-1, 1) to (-1, 0)
turn 96: lower: SLIDE from (0, 1) to (-1, 1)
turn 97: upper: SLIDE from (-1, 0) to (-1, -1)
turn 97: lower: SWING from (-2, 0) to (-3, 2)
turn 98: upper: SLIDE from (-2, 3) to (-1, 2)
turn 98: lower: SLIDE from (-1, 1) to (-1, 0)
turn 99: upper: SLIDE from (-1, -1) to (-2, -1)
turn 99: lower: SWING from (-3, 1) to (-2, 2)
turn 100: upper: SLIDE from (-1, 2) to (0, 1)
turn 100: lower: SLIDE from (-1, 0) to (-2, 0)
turn 101: upper: SLIDE from (-2, -1) to (-3, -1)
turn 101: lower: SLIDE from (-2, 2) to (-2, 3)
turn 102: upper: SLIDE from (0, 1) to (0, 0)
turn 102: lower: SLIDE from (-2, 0) to (-3, 0)
turn 103: upper: SLIDE from (-3, -1) to (-2, -2)
turn 103: lower: SLIDE from (-3, 2) to (-2, 1)
turn 104: upper: SWING from (0, 0) to (-1, -1)
turn 104: lower: SLIDE from (-3, 0) to (-2, -1)
turn 105: upper: SLIDE from (-2, -2) to (-1, -3)
turn 105: lower: SLIDE from (-2, -1) to (-2, -2)
turn 106: upper: SLIDE from (-1, -3) to (0, -3)
turn 106: lower: SLIDE from (-2, 1) to (-1, 0)
turn 107: upper: SLIDE from (0, -1) to (1, -1)
turn 107: lower: SLIDE from (-2, 3) to (-2, 2)
turn 108: upper: SLIDE from (-1, -1) to (-1, -2)
turn 108: lower: SLIDE from (-1, 0) to (0, 0)
turn 109: upper: SLIDE from (1, -1) to (1, -2)
turn 109: lower: SLIDE from (-2, -2) to (-3, -1)
turn 110: upper: SLIDE from (0, -3) to (0, -2)
turn 110: lower: SLIDE from (-3, -1) to (-4, 0)
turn 111: upper: SWING from (0, -2) to (1, -1)
turn 111: lower: SLIDE from (0, 0) to (-1, 1)
turn 112: upper: SLIDE from (-1, -2) to (-2, -2)
turn 112: lower: SLIDE from (-4, 0) to (-4, 1)
turn 113: upper: SLIDE from (-2, -2) to (-3, -1)
turn 113: lower: SLIDE from (-4, 1) to (-4, 2)
turn 114: upper: SLIDE from (-3, -1) to (-4, 0)
turn 114: lower: SWING from (-1, 1) to (-3, 2)
turn 115: upper: SLIDE from (1, -1) to (0, -1)
turn 115: lower: SWING from (-2, 2) to (-3, 1)
turn 116: upper: SLIDE from (1, -2) to (0, -2)
turn 116: lower: SWING from (-4, 2) to (-2, 1)
turn 117: upper: SLIDE from (-4, 0) to (-3, -1)
turn 117: lower: SLIDE from (-2, 1) to (-1, 0)
turn 118: upper: SWING from (0, -1) to (-1, -2)
turn 118: lower: SLIDE from (-3, 1) to (-3, 0)
turn 119: upper: SLIDE from (-3, -1) to (-2, -2)
turn 119: lower: SLIDE from (-1, 0) to (-1, 1)
turn 120: upper: SWING from (-2, -2) to (-1, -1)
turn 120: lower: SLIDE from (-3, 2) to (-4, 3)
turn 121: upper: SWING from (0, -2) to (-2, -1)
turn 121: lower: SLIDE from (-3, 0) to (-4, 1)
turn 122: upper: SLIDE from (-1, -1) to (-1, 0)
turn 122: lower: SLIDE from (-4, 1) to (-4, 2)
turn 123: upper: SWING from (-1, -2) to (-3, 0)
turn 123: lower: SLIDE from (-1, 1) to (-2, 2)
turn 124: upper: SLIDE from (-1, 0) to (-1, 1)
turn 124: lower: SLIDE from (-2, 2) to (-3, 2)
